name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Antojitos Sope Sencillo,,185.26,4.29,24.14,5.6,0.42,63.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3163
Antojitos Tlacoyo De Frijol,,196.62,5.25,28.14,4.9,1.05,59.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),3165
Antojitos Tlacoyo De Frijol,,209.27,4.86,29.2,5.83,1.3,57.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3166
Antojitos Tlacoyo De Frijol,,285.21,5.1,34.01,12.78,0.68,45.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3167
Antojitos Tlacoyo De Frijol,,281.46,5.53,31.71,12.69,0.7,48.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),3168
Antojitos Tlacoyo De Frijol,,196,4.17,27.28,7.75,0.92,58.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),3169
Antojitos Tlacoyo De Frijol,,199.73,4.5,29.26,5.64,1.06,57.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3170
Antojitos Tlacoyo De Frijol,,196.11,5.19,32.47,2.49,1.26,56.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3171
Antojitos Tlacoyo De Frijol,,322.83,5.47,32.05,14.87,1.23,44.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3172
Antojitos Tlacoyo De Frijol,,185.88,5.19,24.04,5.78,0.97,62.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3173
Antojitos Tlacoyo De Frijol,,199.75,4.24,25.17,6.78,0.6,61.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3174
Antojitos Tlacoyo De Requesón,,160.64,4.32,23.15,4.28,0.69,65.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3175
Antojitos Tlacoyo De Requesón,,180.89,7.09,18.13,8.4,0.14,64,,,INCMNSZ/CONABIO 2019 (fibra bruta),3176
Antojitos Tlacoyo De Requesón,,259.41,4.91,26.17,11.83,0.54,55.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3177
Antojitos Tlacoyo De Requesón,,231.54,6.57,27.28,8.85,0.24,55.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3178
Antojitos Tlacoyo De Requesón,,187.78,4.99,22.83,7.12,0.6,61.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3179
Antojitos Tlacoyo De Requesón,,197.7,4.88,25.73,6.11,0.6,59.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3180
Antojitos Tlacoyo De Requesón,,157.28,5.37,17.09,5.46,0.27,70.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3181
Antojitos Tlacoyo De Requesón,,221.51,2.15,28.55,8.7,0.22,58.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),3182
Antojitos Tlacoyo De Requesón,,182.74,5.34,22.86,5.9,0.35,63.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3183
Antojitos Tlacoyo De Requesón,,141.24,5.11,20.71,2.26,0.42,68.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3184
Antojitos Tlacoyos,,206,12.14,4.19,15.63,0.22,67.82,,,INCMNSZ/CONABIO 2019 (fibra bruta),3164
Antojitos Tostada De Pata,,128.41,7.55,7.35,5.49,0.62,77.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3185
Antojitos Tostada De Pata,,126.86,6.41,10.2,5,0.01,75.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3186
Antojitos Tostada De Pata,,196.64,11.92,7.82,10.61,0.24,66.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3187
Antojitos Tostada De Pata,,119.96,6.99,5.25,7.17,0.08,78.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3188
Antojitos Tostada De Pata,,126.55,11.83,3.86,4.27,0.13,76.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3189
Antojitos Tostada De Pata,,116.65,7.81,8.79,3.55,0.11,77.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3190
Antojitos Tostada De Pata,,100.61,6.97,7.4,5.1,0.07,79.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3191
Antojitos Tostada De Pata,,188.62,5.97,12.95,12.4,0.29,67.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3192
Antojitos Tostada De Pata,,100.85,6.07,7.52,3.48,0.09,82,,,INCMNSZ/CONABIO 2019 (fibra bruta),3193
Antojitos Tostada De Pata,,126.15,7.09,8.22,5.05,0.01,77.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3194
Arroz  Guisado Rojo,,164.41,2.72,23.75,5.68,0,66.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),2100
Arroz  Guisado Rojo,,132.98,3.57,19.95,4.3,0,70.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),2101
Arroz  Guisado Rojo,,138.96,3.23,21.43,3.3,0.5,70.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),2102
Arroz  Guisado Rojo,,126.62,1.78,23.91,1.99,0,70.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),2103
Arroz  Guisado Rojo,,133.62,2.88,23.02,3.87,0.01,69.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),2104
Arroz  Guisado Rojo,,155.81,3.1,23.11,5.29,0,67.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),2105
Arroz  Guisado Rojo,,129.75,2.12,22.2,2.46,0,72.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),2106
