name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Pimienta negra,,250,10,65,5,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:168
Pimienta negra en polvo,,250,10,65,5,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:169
Pimienta negra entera,,225,10,57.5,5,0,0,cucharadita,4,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:170
Pimienta roja,,300,10,55,15,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:172
Pimienta verde,,300,10,70,0,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:173
Pimiento amarillo crudo chico,,26.5625,1.0938,6.25,0.1563,0.9375,0,pieza,64,SMAE 2014,SMAE2014:VERDURAS:127
Pimiento cocido,,27.9412,0.8824,6.7647,0.1471,1.1765,0,taza,136,SMAE 2014,SMAE2014:VERDURAS:128
Pimiento fresco,,28.3333,0.8333,6.3333,0.1667,1.8333,0,taza,60,SMAE 2014,SMAE2014:VERDURAS:129
Pimiento rojo crudo chico,,26.5625,1.0938,6.25,0.1563,0.9375,0,pieza,64,SMAE 2014,SMAE2014:VERDURAS:130
Pimiento verde crudo chico,,26.5625,1.0938,6.25,0.1563,0.9375,0,pieza,64,SMAE 2014,SMAE2014:VERDURAS:131
Pinole,,386.6667,10.6667,75.3333,6,0,0,,,SMAE 2014,SMAE2014:CEREALES_SIN_GRASA:320
Piña colada,,55,0,7.9167,0,0,0,vaso,300,SMAE 2014,SMAE2014:PLATILLOS_BEBIDAS:53
Piña en almibar,,84,0.4,21.6,0.2,0.8,0,rebanada,50,SMAE 2014,SMAE2014:FRUTAS:167
Piña en almibar,,84.127,0.3175,21.5873,0.1587,0.7937,0,taza,189,SMAE 2014,SMAE2014:FRUTAS:168
Piña picada,,50,0.5645,13.0645,0.0806,1.371,0,taza,165.33,SMAE 2014,SMAE2014:FRUTAS:169
